"date","cases","deaths","vaccinated"
2020-02-21,0,0,0
2020-02-22,0,0,0
2020-02-25,0,0,0
2020-02-26,0,0,0
2020-02-28,0,0,0
2020-02-29,0,0,0
2020-03-01,0,0,0
2020-03-02,1,0,0
2020-03-03,0,0,0
2020-03-04,0,0,0
2020-03-05,2,0,0
2020-03-06,2,0,0
2020-03-07,4,0,0
2020-03-08,7,0,0
2020-03-09,8,0,0
2020-03-10,9,0,0
2020-03-11,14,0,0
2020-03-12,49,0,0
2020-03-13,28,0,0
2020-03-14,29,0,0
2020-03-15,28,0,0
2020-03-16,126,0,0
2020-03-17,149,1,0
2020-03-18,223,2,0
2020-03-19,261,1,0
2020-03-20,267,2,0
2020-03-21,193,5,0
2020-03-22,155,5,0
2020-03-23,429,4,0
2020-03-24,472,6,0
2020-03-25,479,9,0
2020-03-26,663,5,0
2020-03-27,650,6,0
2020-03-28,459,15,0
2020-03-29,344,15,0
2020-03-30,860,25,0
2020-03-31,885,24,0
2020-04-01,932,24,0
2020-04-02,898,38,0
2020-04-03,838,31,0
2020-04-04,673,54,0
2020-04-05,449,53,0
2020-04-06,1072,60,0
2020-04-07,1145,85,0
2020-04-08,1148,78,0
2020-04-09,987,92,0
2020-04-10,1091,65,0
2020-04-11,634,89,0
2020-04-12,366,86,0
2020-04-13,668,95,0
2020-04-14,1234,96,0
2020-04-15,1087,99,0
2020-04-16,975,104,0
2020-04-17,1004,96,0
2020-04-18,523,106,0
2020-04-19,364,93,0
2020-04-20,1025,103,0
2020-04-21,849,116,0
2020-04-22,917,89,0
2020-04-23,874,96,0
2020-04-24,778,100,0
2020-04-25,506,90,0
2020-04-26,337,84,0
2020-04-27,859,83,0
2020-04-28,721,87,0
2020-04-29,831,73,0
2020-04-30,658,82,0
2020-05-01,724,80,0
2020-05-02,454,85,0
2020-05-03,363,80,0
2020-05-04,662,77,0
2020-05-05,706,64,0
2020-05-06,531,65,0
2020-05-07,592,72,0
2020-05-08,588,53,0
2020-05-09,231,55,0
2020-05-10,203,63,0
