Date,Confirmed Cases,Probable Cases,Total Cases,Total Deaths,Total Tests,Date Updated
02/21/2020,0,0,0,0,8,06/01/2023
02/22/2020,0,0,0,0,1,06/01/2023
02/25/2020,0,0,0,0,1,06/01/2023
02/26/2020,0,0,0,0,3,06/01/2023
02/28/2020,0,0,0,0,3,06/01/2023
02/29/2020,0,0,0,0,1,06/01/2023
03/01/2020,0,0,0,0,18,06/01/2023
03/02/2020,0,1,1,0,4,06/01/2023
03/03/2020,0,0,0,0,12,06/01/2023
03/04/2020,0,0,0,0,12,06/01/2023
03/05/2020,0,2,2,0,15,06/01/2023
03/06/2020,1,1,2,0,13,06/01/2023
03/07/2020,0,4,4,0,23,06/01/2023
03/08/2020,1,6,7,0,35,06/01/2023
03/09/2020,3,5,8,0,46,06/01/2023
03/10/2020,6,3,9,0,27,06/01/2023
03/11/2020,10,4,14,0,62,06/01/2023
03/12/2020,43,6,49,0,98,06/01/2023
03/13/2020,25,3,28,0,143,06/01/2023
03/14/2020,26,3,29,0,124,06/01/2023
03/15/2020,24,4,28,0,136,06/01/2023
03/16/2020,123,3,126,0,571,06/01/2023
03/17/2020,146,3,149,1,991,06/01/2023
03/18/2020,211,12,223,2,1346,06/01/2023
03/19/2020,256,5,261,1,1525,06/01/2023
03/20/2020,260,7,267,2,1684,06/01/2023
03/21/2020,189,4,193,5,974,06/01/2023
03/22/2020,148,7,155,5,694,06/01/2023
03/23/2020,417,12,429,4,1803,06/01/2023
03/24/2020,465,7,472,6,2047,06/01/2023
03/25/2020,474,5,479,9,1957,06/01/2023
03/26/2020,650,13,663,5,2265,06/01/2023
03/27/2020,641,9,650,6,2222,06/01/2023
03/28/2020,453,6,459,15,1333,06/01/2023
03/29/2020,336,8,344,15,832,06/01/2023
03/30/2020,840,20,860,25,2138,06/01/2023
03/31/2020,874,11,885,24,2237,06/01/2023
04/01/2020,909,23,932,24,2491,06/01/2023
04/02/2020,878,20,898,38,2406,06/01/2023
04/03/2020,821,17,838,31,2444,06/01/2023
04/04/2020,656,17,673,54,1712,06/01/2023
04/05/2020,437,12,449,53,1158,06/01/2023
04/06/2020,1030,42,1072,60,2803,06/01/2023
04/07/2020,1111,34,1145,85,2878,06/01/2023
04/08/2020,1127,21,1148,78,3015,06/01/2023
04/09/2020,961,26,987,92,2578,06/01/2023
04/10/2020,1069,22,1091,65,2807,06/01/2023
04/11/2020,626,8,634,89,1809,06/01/2023
04/12/2020,347,19,366,86,1055,06/01/2023
04/13/2020,644,24,668,95,1606,06/01/2023
04/14/2020,1185,49,1234,96,3674,06/01/2023
04/15/2020,1041,46,1087,99,3129,06/01/2023
04/16/2020,943,32,975,104,3190,06/01/2023
04/17/2020,969,35,1004,96,3718,06/01/2023
04/18/2020,490,33,523,106,2238,06/01/2023
04/19/2020,345,19,364,93,1612,06/01/2023
04/20/2020,1002,23,1025,103,3531,06/01/2023
04/21/2020,797,52,849,116,3054,06/01/2023
04/22/2020,883,34,917,89,4033,06/01/2023
04/23/2020,824,50,874,96,4079,06/01/2023
04/24/2020,746,32,778,100,4340,06/01/2023
04/25/2020,487,19,506,90,2495,06/01/2023
04/26/2020,325,12,337,84,1892,06/01/2023
04/27/2020,814,45,859,83,4422,06/01/2023
04/28/2020,694,27,721,87,3866,06/01/2023
04/29/2020,796,35,831,73,4725,06/01/2023
04/30/2020,619,39,658,82,3578,06/01/2023
05/01/2020,700,24,724,80,4051,06/01/2023
05/02/2020,430,24,454,85,3204,06/01/2023
05/03/2020,338,25,363,80,2351,06/01/2023
05/04/2020,638,24,662,77,4383,06/01/2023
05/05/2020,667,39,706,64,4850,06/01/2023
05/06/2020,501,30,531,65,4297,06/01/2023
05/07/2020,554,38,592,72,4549,06/01/2023
05/08/2020,554,34,588,53,6099,06/01/2023
05/09/2020,219,12,231,55,2913,06/01/2023
05/10/2020,198,5,203,63,2289,06/01/2023
05/11/2020,607,29,636,56,6171,06/01/2023
05/12/2020,581,35,616,60,8216,06/01/2023
05/13/2020,692,40,732,53,7658,06/01/2023
05/14/2020,490,39,529,51,7746,06/01/2023
05/15/2020,441,26,467,52,7596,06/01/2023
05/16/2020,191,18,209,49,3727,06/01/2023
05/17/2020,146,9,155,50,2693,06/01/2023
05/18/2020,468,17,485,44,6883,06/01/2023
05/19/2020,613,22,635,46,6964,06/01/2023
05/20/2020,495,35,530,41,7130,06/01/2023
05/21/2020,369,29,398,40,7360,06/01/2023
05/22/2020,301,24,325,31,7254,06/01/2023
05/23/2020,135,12,147,31,3421,06/01/2023
