County of residence,Population,At least one dose,At least one dose percent,Fully vaccinated,Fully vaccinated percent,Additional Dose 1 Received Count,Additional Dose 1 Received Percent,Date
Fairfield,943332,584551,61.97,514120,54.5,,,06/16/2021
Hartford,891720,534159,59.9,477115,53.51,,,06/16/2021
Litchfield,180333,111840,62.02,101274,56.16,,,06/16/2021
Middlesex,162436,110422,67.98,100650,61.96,,,06/16/2021
New Haven,854757,499966,58.49,449590,52.6,,,06/16/2021
New London,265206,152257,57.41,139141,52.47,,,06/16/2021
Tolland,150721,84491,56.06,77306,51.29,,,06/16/2021
Windham,116782,57125,48.92,51769,44.33,,,06/16/2021
Resident out of state,,64593,,52021,,,,06/16/2021
Address pending validation,,16870,,15216,,,,06/16/2021
Fairfield,943332,590938,62.64,524738,55.63,,,06/23/2021
Hartford,891720,539882,60.54,486870,54.6,,,06/23/2021
Litchfield,180333,112760,62.53,102859,57.04,,,06/23/2021
Middlesex,162436,111191,68.45,101949,62.76,,,06/23/2021
New Haven,854757,505085,59.09,458021,53.58,,,06/23/2021
New London,265206,153591,57.91,141499,53.35,,,06/23/2021
Tolland,150721,85111,56.47,78609,52.16,,,06/23/2021
Windham,116782,57627,49.35,52753,45.17,,,06/23/2021
Resident out of state,,65696,,53160,,,,06/23/2021
Address pending validation,,16864,,15343,,,,06/23/2021
Fairfield,943332,596623,63.25,538391,57.07,,,06/30/2021
Hartford,891720,544977,61.12,499646,56.03,,,06/30/2021
Litchfield,180333,113627,63.01,105443,58.47,,,06/30/2021
Middlesex,162436,112154,69.05,104235,64.17,,,06/30/2021
New Haven,854757,510175,59.69,469406,54.92,,,06/30/2021
New London,265206,154933,58.42,144802,54.6,,,06/30/2021
Tolland,150721,85659,56.83,80215,53.22,,,06/30/2021
Windham,116782,58227,49.86,54237,46.44,,,06/30/2021
Resident out of state,,66592,,54462,,,,06/30/2021
Address pending validation,,16864,,15430,,,,06/30/2021
Fairfield,943332,600733,63.68,544005,57.67,,,07/07/2021
Hartford,891720,548568,61.52,504388,56.56,,,07/07/2021
Litchfield,180333,114160,63.31,106142,58.86,,,07/07/2021
Middlesex,162436,112713,69.39,104945,64.61,,,07/07/2021
New Haven,854757,513933,60.13,474400,55.5,,,07/07/2021
New London,265206,155961,58.81,145929,55.02,,,07/07/2021
